,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,603949,雪龙集团,21.31,10.02,1.94,303167.0,626047286.0,9.45,21.31,19.48,21.31,19.37,14.42,75.7,4.48
1,2,603767,中马传动,20.43,10.02,1.86,652797.0,1301152153.0,7.11,20.43,19.11,19.98,18.57,21.15,94.35,4.37
2,3,002406,远东传动,10.88,10.01,0.99,3413554.0,3643606182.42,7.08,10.88,10.18,10.88,9.89,56.68,69.11,1.99
3,4,603686,福龙马,13.97,10.0,1.27,460403.0,606243665.0,10.79,13.97,12.6,12.6,12.7,11.08,37.72,1.75
4,5,002553,南方精工,25.65,9.99,2.33,1186067.0,2930579850.11,12.31,25.65,22.78,23.32,23.32,47.29,144.25,7.73
5,6,300721,怡达股份,15.33,9.5,1.33,347109.0,543292558.3,18.86,16.8,14.16,14.5,14.0,25.31,131.38,2.07
6,7,002529,海源复材,9.41,6.81,0.6,401738.0,376225702.06,7.04,9.69,9.07,9.32,8.81,15.45,-43.72,5.99
7,8,300807,天迈科技,41.15,5.51,2.15,83334.0,331586603.34,12.54,42.0,37.11,38.76,39.0,16.99,-39.72,5.69
8,9,300198,纳川股份,2.91,5.43,0.15,3092782.0,871857546.59,20.65,3.09,2.52,2.7,2.76,30.19,-28.64,4.43
9,10,688339,亿华通-U,25.9,5.03,1.24,110427.0,284301767.0,5.31,26.39,25.08,25.1,24.66,6.93,-13.24,2.32
10,11,301298,东利机械,20.96,4.9,0.98,401064.0,799511850.63,17.62,21.93,18.41,20.0,19.98,41.64,43.24,3.41
11,12,000622,*ST恒立,2.81,4.85,0.13,163898.0,45587291.34,5.22,2.81,2.67,2.72,2.68,3.85,-55.27,7.17
12,13,600105,永鼎股份,6.18,4.57,0.27,2003783.0,1240723461.0,9.48,6.35,5.79,5.89,5.91,13.71,118.25,2.96
13,14,603011,合锻智能,9.29,4.38,0.39,784649.0,752604472.0,8.31,9.79,9.05,9.05,8.9,15.87,448.6,2.06
14,15,002190,成飞集成,18.2,4.3,0.75,248559.0,446538518.58,7.91,18.65,17.27,17.35,17.45,6.93,-86.95,2.47
15,16,600522,中天科技,15.77,4.02,0.61,2560533.0,4029750100.0,6.46,16.14,15.16,15.16,15.16,7.5,17.47,1.54
16,17,002217,*ST合泰,2.21,3.76,0.08,1061398.0,230315007.69,5.63,2.23,2.11,2.14,2.13,1.87,-10.09,2.82
17,18,600178,东安动力,14.28,3.7,0.51,804592.0,1120381992.0,12.2,14.83,13.15,13.53,13.77,17.25,-3156.33,2.64
18,19,300228,富瑞特装,8.73,3.56,0.3,1224543.0,1081444521.47,14.47,9.45,8.23,8.27,8.43,22.13,30.36,2.45
19,20,300252,金信诺,12.06,3.52,0.41,801192.0,965524890.48,7.04,12.35,11.53,11.53,11.65,14.92,1074.64,3.71
20,21,300001,特锐德,25.19,3.32,0.81,481349.0,1215947352.65,7.05,25.88,24.16,24.35,24.38,4.68,44.67,3.85
21,22,002478,常宝股份,5.57,3.15,0.17,475708.0,263519731.44,4.63,5.63,5.38,5.39,5.4,6.61,9.15,0.93
22,23,603090,宏盛股份,22.9,2.78,0.62,85555.0,192490384.0,9.92,23.96,21.75,22.0,22.28,8.56,35.96,3.97
